NOME,FASE_2022,TURMA_2022,ANO_INGRESSO_2022,BOLSISTA_2022,INDE_2022,CG_2022,CF_2022,CT_2022,PEDRA_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,NOTA_PORT_2022,NOTA_MAT_2022,NOTA_ING_2022,QTD_AVAL_2022,IPP_2022,REC_AVA_1_2022,REC_AVA_2_2022,REC_AVA_3_2022,REC_AVA_4_2022,INDICADO_BOLSA_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022,NIVEL_IDEAL_2022
ALUNO-2,0.0,K,2022.0,Não,7.675.509.353.106.840,245.0,66.0,6.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,758.170.509.886.757,7.5,8.816.666.666.666.660,8.200.000.000.000.000,9.433.333.333.333.330,,2.0,5.625,Mantido na Fase + Bolsa,Mantido na Fase atual,,,Sim,Não,7.916.665,5.0,Fase 2 (5º e 6º ano)
ALUNO-4,2.0,J,2022.0,Não,7.117.065.047.619.040,451.0,69.0,3.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,8.071.428.571.428.570,7.5,5.083.333.333.333.330,5.0,5.166.666.666.666.660,,3.0,6.25,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,,Não,Não,8.055.553.333.333.330,5.0,Fase 3 (7º e 8º ano)
ALUNO-5,2.0,L,2019.0,Não,7.232.336.307.992.200,415.0,61.0,12.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,641.668,8.557.504.873.294.340,7.5,7.083.333.333.333.330,6.666.666.666.666.660,7.5,,3.0,6.458.333.333.333.330,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,7.833.336.666.666.660,5.0,Fase 3 (7º e 8º ano)
ALUNO-6,2.0,K,2022.0,Não,7.741.668.666.666.660,221.0,35.0,2.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.000.020.000.000.000,9.333.333.333.333.330,7.5,5.5,3.0,8.0,,3.0,6.25,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,7.5,10.0,Fase 2 (5º e 6º ano)
ALUNO-7,1.0,U,2022.0,Não,7.406.743.477.025.890,357.0,93.0,7.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1.000.002,9.314.954.051.796.150,7.5,5.583.333.333.333.330,4.666.666.666.666.660,6.5,,2.0,59.375,Promovido de Fase,Promovido de Fase,,,Não,Não,791.667,5.0,Fase 2 (5º e 6º ano)
ALUNO-8,5.0,K,2017.0,Sim,7.289.795.442.501.940,397.0,26.0,6.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,916.668,8.268.065.268.065.260,5.0,7.144.444.444.444.440,6.5,7.666.666.666.666.660,7.266.666.666.666.660,4.0,765.625,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase,Não,Não,76.250.025,5.0,Fase 6 (2º EM)
ALUNO-9,0.0,Z,2022.0,Não,5.665.746.204.655.240,767.0,184.0,9.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000.020.000.000.000,6.820.377.689.942.900,5.0,2.133.333.333.333.330,2.466.666.666.666.660,1.8,,2.0,3.75,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,550.001,10.0,ALFA  (2º e 3º ano)
ALUNO-11,1.0,A,2020.0,Sim,8.464.686.539.682.530,40.0,5.0,1.0,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.000.020.000.000.000,9.198.412.698.412.690,7.5,9.833.333.333.333.330,10.0,9.666.666.666.666.660,,3.0,7.083.333.333.333.330,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,,Não,Sim,950.001,5.0,Fase 2 (5º e 6º ano)
ALUNO-16,1.0,P,2022.0,Não,6.995.504.201.058.200,489.0,129.0,9.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500.020.000.000.000,933.862.433.862.434,6.875,6.333.333.333.333.330,5.5,7.166.666.666.666.660,,3.0,4.791.666.666.666.660,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,6.722.219.999.999.990,5.0,Fase 2 (5º e 6º ano)
ALUNO-17,1.0,G,2018.0,Não,6.723.325.934.837.090,580.0,142.0,6.0,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,950.002,6.647.869.674.185.460,7.5,5.5,4.333.333.333.333.330,6.666.666.666.666.660,,2.0,59.375,Mantido na Fase atual,Promovido de Fase,,,Não,Não,7.5,5.0,Fase 3 (7º e 8º ano)
